brand,model,year,transmission,fuel,nb_of_doors,price,miles,engine(hp)
FIAT,500 Abarth,2013,Manual,Gasoline,2,7372,65725,160
FIAT,500 Abarth,2015,Automatic,Gasoline,2,8950,57120,160
FIAT,500 Sport,2013,Automatic,Gasoline,2,8600,30411,101
FIAT,500X Trekking AWD,2016,Automatic,Gasoline,4,10995,45035,180
FIAT,500 Lounge,2013,Automatic,Gasoline,2,6770,61663,101
FIAT,500 Pop,2013,Manual,Gasoline,2,4995,72700,101
FIAT,500 Sport,2015,Manual,Gasoline,2,7995,27258,101
FIAT,500X Easy,2016,Automatic,Gasoline,4,7900,68884,180
FIAT,500 Abarth Hatchback FWD,2017,Manual,Gasoline,2,15495,7776,160
FIAT,500 Pop Convertible,2012,Manual,Gasoline,2,6999,49111,101
FIAT,124 Spider Elaborazione Abarth RWD,2017,Automatic,Gasoline,2,18888,31312,164
FIAT,500 Easy,2016,Automatic,Gasoline,2,11900,12865,101
FIAT,500 Sport,2012,Manual,Gasoline,2,5999,52858,101
FIAT,500 Pop Convertible,2012,Automatic,Gasoline,2,7999,23245,101
FIAT,500 Pop,2012,Manual,Gasoline,2,5600,56657,101
FIAT,500 Pop Convertible,2012,Automatic,Gasoline,2,7995,38494,101
FIAT,124 Spider Lusso RWD,2017,Automatic,Gasoline,2,14620,42786,160
FIAT,500L Pop,2016,Automatic,Gasoline,4,6495,61905,160
FIAT,500 1957 Edition,2014,Manual,Gasoline,2,7550,75491,101
FIAT,500 Sport,2016,Automatic,Gasoline,2,8888,48902,101
FIAT,500L Lounge,2014,Automatic,Gasoline,4,8227,55142,160
FIAT,124 Spider Elaborazione Abarth,2020,Automatic,Gasoline,2,26277,2778,160
FIAT,500X Trekking Plus,2016,Automatic,Gasoline,4,9995,57128,180
FIAT,500 Sport,2015,Automatic,Gasoline,2,7900,45776,101
FIAT,500 Abarth,2014,Manual,Gasoline,2,10350,40967,160
FIAT,500 Sport,2015,Automatic,Gasoline,2,7900,39893,101
FIAT,500X Trekking AWD,2021,Automatic,Gasoline,4,16774,22256,177
FIAT,500X Easy,2016,Automatic,Gasoline,4,8550,61725,180
FIAT,500 Abarth,2015,Automatic,Gasoline,2,8500,61516,160
